,MRP,RAM_Size(GB),RAM_Type,Processor,Storage(GB),OS,Brand
559,19990,4,DDR4,Intel Celeron Dual Core ,0,Windows,ASUS
562,89990,16,DDR4,Intel Core i7 ,512,Windows,ASUS
563,59790,8,DDR4,Intel Core i5 ,512,Windows,DELL
564,125990,16,DDR4,Intel Core i9 ,1,Windows,MSI
565,249990,32,DDR5,AMD Ryzen 7 Octa Core ,2,Windows,ASUS
568,149990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
569,36990,8,DDR4,Intel Pentium Quad Core ,256,Windows,DELL
572,85990,16,DDR4,Intel Core i5 ,512,Windows,ASUS
573,60990,8,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,HP
574,87900,8,DDR5,Intel Core i5 ,512,Windows,DELL
575,27490,4,DDR4,AMD Dual Core ,0,Windows,Lenovo
580,28999,8,DDR4,AMD Ryzen 3 Dual Core ,0,Windows,HP
582,117990,16,DDR4,Intel Core i7 ,512,Windows,acer
585,61497,8,DDR4,Intel Core i5 ,256,Windows,DELL
586,70400,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,HP
588,69000,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
590,149990,16,DDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
592,96579,8,DDR5,AMD Ryzen 5 Hexa Core ,512,Windows,HP
593,101990,16,DDR4,Intel i7,512,Windows,DELL
596,94990,8,DDR5,AMD Ryzen 7 Octa Core ,512,Windows,HP
597,314990,32,DDR5,Intel Core i7 ,2,Windows,MSI
598,46900,8,DDR4,Intel Core i3 ,256,Windows,DELL
602,331990,32,DDR5,Intel Core i9 ,2,Windows,ASUS
603,116490,16,DDR5,Intel Core i7 ,1,Windows,DELL
604,64590,8,DDR4,AMD Ryzen 3 Hexa Core ,512,Windows,HP
605,137990,16,DDR5,Intel Core i7 ,1,Windows,DELL
608,55690,8,DDR4,Intel Core i5 ,512,Windows,DELL
609,109990,16,DDR4,Intel Core i7 ,512,Windows,Lenovo
612,79990,8,DDR4,Intel Core i7 ,256,Windows,ASUS
613,130500,16,DDR4,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
614,361990,32,DDR5,AMD Ryzen 9 Octa Core ,2,Windows,ASUS
615,211990,16,DDR5,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
618,39890,4,DDR4,Intel Core i3 ,256,Windows,DELL
619,139990,16,DDR4,Intel Core i7 ,1,Windows,MSI
622,99990,16,DDR4,Intel Core i7 ,256,Windows,MSI
623,66700,16,DDR4,Intel Core i5 ,512,Windows,HP
624,68990,8,DDR4,Intel Core i5 ,256,Windows,DELL
625,434830,32,DDR4,Intel Core i9 ,1,Windows,DELL
628,345390,32,DDR4,Intel Core i9 ,1,Windows,ALIENWARE
629,105822,16,DDR4,Intel Core i7 ,512,Windows,HP
632,28490,4,LPDDR4X,Intel Celeron Dual Core ,0,Chrome,Lenovo
633,66990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
634,86999,8,DDR4,Intel Core i5 ,512,Windows,acer
635,36990,8,DDR4,Intel Core i3 ,256,Windows,ASUS
638,23250,4,DDR4,Intel Celeron Dual Core ,256,Windows,Lenovo
639,42390,8,DDR4,Intel Core i3 ,256,Windows,DELL
642,58990,8,DDR4,Intel Core i5 ,512,Windows,Lenovo
643,110990,16,DDR4,Intel Core i7 ,1,Windows,ASUS
644,74590,128,DDR4,Intel Core i5 ,128,Windows,acer
645,71990,8,DDR4,AMD Ryzen 5 Hexa Core ,512,Windows,DELL
648,84990,16,DDR4,Intel Core i5 ,512,Windows,Lenovo
649,119990,16,LPDDR5,AMD Ryzen 7 Octa Core ,1,Windows,ASUS
652,214990,32,DDR4,Intel Core i7 ,1,Windows,MSI
653,48790,8,DDR4,Intel Core i3 ,512,Windows,MSI
654,76000,16,DDR4,AMD Ryzen 7 Octa Core ,512,Windows,DELL
655,224990,32,LPDDR4X,AMD Ryzen 9 Octa Core ,1,Windows,ASUS
